year,RS_shannon_mean,RS_shannon_sd,RS_shannon_max,RS_shannon_median
2013,2.892771527,0.200265248,3.345518589,2.909342885
2014,2.867975493,0.204514823,3.372064829,2.882842064
2015,2.873562755,0.199996488,3.388251305,2.893174887
2016,2.883753394,0.197424668,3.323767662,2.901534557
2017,2.895625164,0.194716152,3.357363939,2.933315516
2018,2.932612255,0.200342824,3.409158707,2.963079929
2019,2.898037264,0.189458366,3.332410812,2.90785253
2020,2.928538069,0.203028264,3.366400719,2.964736462
2021,2.844031323,0.186583899,3.279010057,2.849392891
2022,2.863381374,0.171138731,3.213149786,2.899077177
